codigo_ocorrencia;codigo_ocorrencia1;codigo_ocorrencia2;ocorrencia_classificacao;ocorrencia_cidade;ocorrencia_uf;ocorrencia_pais;ocorrencia_aerodromo;ocorrencia_dia;ocorrencia_hora;total_recomendacoes
39828;39828;39828;INCIDENTE;SANTOS;SP;BRASIL;****;15/01/2010;17:45:00;0
44575;44575;44575;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;17/01/2010;12:27:00;0
40310;40310;40310;INCIDENTE;CRUZEIRO DO SUL;AC;BRASIL;SBCZ;18/01/2010;19:32:00;0
39320;39320;39320;ACIDENTE;FAROL;PR;BRASIL;****;19/01/2010;18:30:00;4
39851;39851;39851;INCIDENTE;PASSO FUNDO;RS;BRASIL;SBPF;19/01/2010;03:00:00;0
40311;40311;40311;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;****;19/01/2010;13:20:00;0
41577;41577;41577;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;****;19/01/2010;12:16:00;0
39772;39772;39772;INCIDENTE;UBERLÂNDIA;MG;BRASIL;****;20/01/2010;18:58:00;0
39847;39847;39847;INCIDENTE;SOROCABA;SP;BRASIL;****;20/01/2010;13:10:00;0
39768;39768;39768;INCIDENTE;CAMPINAS;SP;BRASIL;****;21/01/2010;20:45:00;0
39321;39321;39321;ACIDENTE;PONTES E LACERDA;MT;BRASIL;****;23/01/2010;13:00:00;2
39709;39709;39709;INCIDENTE GRAVE;CURITIBA;PR;BRASIL;SBBI;23/01/2010;16:36:00;2
39849;39849;39849;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;23/01/2010;03:30:00;0
39323;39323;39323;ACIDENTE;CASIMIRO DE ABREU;RJ;BRASIL;****;24/01/2010;16:15:00;0
39318;39318;39318;ACIDENTE;SENADOR JOSÉ PORFÍRIO;PA;BRASIL;****;25/01/2010;16:20:00;5
39848;39848;39848;INCIDENTE;GUARULHOS;SP;BRASIL;SBGR;25/01/2010;17:05:00;0
39322;39322;39322;ACIDENTE;SÃO BERNARDO DO CAMPO;SP;BRASIL;****;26/01/2010;13:50:00;2
39487;39487;39487;INCIDENTE GRAVE;PALMAS;TO;BRASIL;SBPJ;26/01/2010;16:50:00;0
39850;39850;39850;INCIDENTE;BELÉM;PA;BRASIL;SBJC;26/01/2010;14:30:00;0
39319;39319;39319;ACIDENTE;IPERÓ;SP;BRASIL;****;27/01/2010;11:25:00;3
39627;39627;39627;INCIDENTE;FLORIANÓPOLIS;SC;BRASIL;SBFL;27/01/2010;16:15:00;0
40617;40617;40617;INCIDENTE;RIO DE JANEIRO;RJ;BRASIL;SBGL;27/01/2010;20:06:00;0
39158;39158;39158;INCIDENTE;BELÉM;PA;BRASIL;****;28/01/2010;16:00:00;0
39687;39687;39687;INCIDENTE GRAVE;PORTO UNIÃO;SC;BRASIL;****;28/01/2010;10:30:00;1
39747;39747;39747;INCIDENTE;CAIRU;BA;BRASIL;SNCL;31/01/2010;19:47:00;4
39787;39787;39787;INCIDENTE;GOIÂNIA;GO;BRASIL;SBGO;31/01/2010;21:00:00;0
39748;39748;39748;INCIDENTE;CAMBÉ;PR;BRASIL;****;03/02/2010;14:30:00;0
39316;39316;39316;ACIDENTE;RIO DO OESTE;SC;BRASIL;****;04/02/2010;17:55:00;2
39155;39155;39155;INCIDENTE;BELO HORIZONTE;MG;BRASIL;****;05/02/2010;12:55:00;0
39176;39176;39176;INCIDENTE;SÃO LUÍS;MA;BRASIL;****;05/02/2010;09:30:00;0
39235;39235;39235;ACIDENTE;ITUMBIARA;GO;BRASIL;****;06/02/2010;17:20:00;3
39295;39295;39295;ACIDENTE;RIO DE JANEIRO;RJ;BRASIL;****;06/02/2010;21:09:00;0
40207;40207;40207;INCIDENTE;CRUZEIRO DO SUL;AC;BRASIL;SBCZ;06/02/2010;22:30:00;0
39115;39115;39115;ACIDENTE;CORRENTINA;BA;BRASIL;SNTY;07/02/2010;17:40:00;2
39367;39367;39367;INCIDENTE;SÃO JOSÉ DO RIO PRETO;SP;BRASIL;SBSR;07/02/2010;22:59:00;0
39405;39405;39405;ACIDENTE;ITIQUIRA;MT;BRASIL;****;07/02/2010;11:30:00;1
40290;40290;40290;INCIDENTE;VITÓRIA;ES;BRASIL;SBVT;07/02/2010;02:09:00;0
39178;39178;39178;INCIDENTE;CAMPINAS;SP;BRASIL;****;08/02/2010;12:33:00;0
39972;39972;39972;INCIDENTE;POÇOS DE CALDAS;MG;BRASIL;SBPC;08/02/2010;13:55:00;0
39969;39969;39969;INCIDENTE;SALVADOR;BA;BRASIL;SBSV;09/02/2010;23:50:00;4
39275;39275;39275;ACIDENTE;SÃO PAULO;SP;BRASIL;****;10/02/2010;09:03:00;3
39967;39967;39967;INCIDENTE;TEIXEIRA DE FREITAS;BA;BRASIL;****;11/02/2010;15:01:00;0
39365;39365;39365;INCIDENTE;GOIÂNIA;GO;BRASIL;****;12/02/2010;16:48:00;0
41377;41377;41377;ACIDENTE;SERRA NEGRA;SP;BRASIL;****;14/02/2010;17:30:00;0
39930;39930;39930;INCIDENTE GRAVE;CURITIBA;PR;BRASIL;SBCT;16/02/2010;16:25:00;2
39992;39992;39992;ACIDENTE;SÃO PAULO;SP;BRASIL;SBMT;17/02/2010;20:07:00;11
